style,country,year,count
Euro-Disco,US,1986,5
Euro-Disco,US,1987,21
Euro-Disco,US,1988,17
Euro-Disco,US,1989,29
Euro-Disco,US,1990,14
Euro-Disco,UK,1970,0
Euro-Disco,UK,1971,0
Euro-Disco,UK,1972,0
Euro-Disco,UK,1973,0
Euro-Disco,UK,1974,0
Euro-Disco,UK,1975,0
Euro-Disco,UK,1976,0
Euro-Disco,UK,1977,5
Euro-Disco,UK,1978,4
Euro-Disco,UK,1979,7
Euro-Disco,UK,1980,1
Euro-Disco,UK,1981,5
Euro-Disco,UK,1982,2
Euro-Disco,UK,1983,8
Euro-Disco,UK,1984,14
Euro-Disco,UK,1985,27
Euro-Disco,UK,1986,35
Euro-Disco,UK,1987,49
Euro-Disco,UK,1988,55
Euro-Disco,UK,1989,49
Euro-Disco,UK,1990,32
Euro-Disco,Italy,1970,0
Euro-Disco,Italy,1971,0
Euro-Disco,Italy,1972,0
Euro-Disco,Italy,1973,0
Euro-Disco,Italy,1974,0
Euro-Disco,Italy,1975,0
Euro-Disco,Italy,1976,1
Euro-Disco,Italy,1977,1
Euro-Disco,Italy,1978,2
Euro-Disco,Italy,1979,3
Euro-Disco,Italy,1980,2
Euro-Disco,Italy,1981,0
Euro-Disco,Italy,1982,2
Euro-Disco,Italy,1983,11
Euro-Disco,Italy,1984,21
Euro-Disco,Italy,1985,42
Euro-Disco,Italy,1986,31
Euro-Disco,Italy,1987,20
Euro-Disco,Italy,1988,21
Euro-Disco,Italy,1989,29
Euro-Disco,Italy,1990,27
Euro-Disco,Germany,1970,0
Euro-Disco,Germany,1971,0
Euro-Disco,Germany,1972,0
Euro-Disco,Germany,1973,0
Euro-Disco,Germany,1974,1
Euro-Disco,Germany,1975,2
Euro-Disco,Germany,1976,5
Euro-Disco,Germany,1977,20
Euro-Disco,Germany,1978,21
Euro-Disco,Germany,1979,22
Euro-Disco,Germany,1980,24
Euro-Disco,Germany,1981,23
Euro-Disco,Germany,1982,11
Euro-Disco,Germany,1983,20
Euro-Disco,Germany,1984,61
Euro-Disco,Germany,1985,258
Euro-Disco,Germany,1986,340
Euro-Disco,Germany,1987,288
Euro-Disco,Germany,1988,231
Euro-Disco,Germany,1989,211
Euro-Disco,Germany,1990,130
Euro-Disco,Spain,1970,0
Euro-Disco,Spain,1971,0
Euro-Disco,Spain,1972,0
Euro-Disco,Spain,1973,0
Euro-Disco,Spain,1974,0
Euro-Disco,Spain,1975,0
Euro-Disco,Spain,1976,1
Euro-Disco,Spain,1977,2
Euro-Disco,Spain,1978,0
Euro-Disco,Spain,1979,0
Euro-Disco,Spain,1980,1
Euro-Disco,Spain,1981,1
Euro-Disco,Spain,1982,7
Euro-Disco,Spain,1983,18
Euro-Disco,Spain,1984,42
Euro-Disco,Spain,1985,109
Euro-Disco,Spain,1986,198
Euro-Disco,Spain,1987,155
Euro-Disco,Spain,1988,136
Euro-Disco,Spain,1989,36
Euro-Disco,Spain,1990,32
Boogie,ALL,1970,21
Boogie,ALL,1971,42
Boogie,ALL,1972,59
Boogie,ALL,1973,51
Boogie,ALL,1974,71
Boogie,ALL,1975,93
Boogie,ALL,1976,133
Boogie,ALL,1977,159
Boogie,ALL,1978,246
Boogie,ALL,1979,418
Boogie,ALL,1980,700
Boogie,ALL,1981,1326
Boogie,ALL,1982,2111
Boogie,ALL,1983,2569
Boogie,ALL,1984,2039
Boogie,ALL,1985,1742
Boogie,ALL,1986,1426
Boogie,ALL,1987,1092
Boogie,ALL,1988,1087
Boogie,ALL,1989,688
Boogie,ALL,1990,444
Boogie,US,1970,5
Boogie,US,1971,3
Boogie,US,1972,21
Boogie,US,1973,10
Boogie,US,1974,19
Boogie,US,1975,23
Boogie,US,1976,47
Boogie,US,1977,45
Boogie,US,1978,82
Boogie,US,1979,150
Boogie,US,1980,346
Boogie,US,1981,710
Boogie,US,1982,1140
Boogie,US,1983,1167
Boogie,US,1984,913
Boogie,US,1985,732
Boogie,US,1986,588
Boogie,US,1987,421
Boogie,US,1988,353
Boogie,US,1989,206
Boogie,US,1990,102
Boogie,UK,1970,2
Boogie,UK,1971,6
Boogie,UK,1972,0
Boogie,UK,1973,3
Boogie,UK,1974,5
Boogie,UK,1975,7
Boogie,UK,1976,6
Boogie,UK,1977,5
Boogie,UK,1978,10
Boogie,UK,1979,20
Boogie,UK,1980,43
Boogie,UK,1981,79
Boogie,UK,1982,165
Boogie,UK,1983,307
Boogie,UK,1984,218
Boogie,UK,1985,165
Boogie,UK,1986,129
Boogie,UK,1987,51
Boogie,UK,1988,50
Boogie,UK,1989,23
Boogie,UK,1990,27
Boogie,Italy,1970,0
Boogie,Italy,1971,6
Boogie,Italy,1972,1
Boogie,Italy,1973,4
Boogie,Italy,1974,1
Boogie,Italy,1975,2
Boogie,Italy,1976,7
